mese,categoria,tipo_giorno,fascia_oraria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2024-06,,infrasettimanale,mattina,"(-1,0]",24,0.0,0.0
2024-06,,infrasettimanale,mattina,"(-10,-5]",83,0.0,520.0
2024-06,,infrasettimanale,mattina,"(-15,-10]",11,0.0,120.0
2024-06,,infrasettimanale,mattina,"(-5,-1]",182,0.0,449.0
2024-06,,infrasettimanale,mattina,"(0,1]",57,57.0,0.0
2024-06,,infrasettimanale,mattina,"(1,5]",259,883.0,0.0
2024-06,,infrasettimanale,mattina,"(10,15]",105,1335.0,0.0
2024-06,,infrasettimanale,mattina,"(15,30]",121,2663.0,0.0
2024-06,,infrasettimanale,mattina,"(30,60]",82,3718.0,0.0
2024-06,,infrasettimanale,mattina,"(5,10]",180,1398.0,0.0
2024-06,,infrasettimanale,mattina,"(60,120]",41,3265.0,0.0
2024-06,,infrasettimanale,mattina,> 120,7,1225.0,0.0
2024-06,,infrasettimanale,notte,"(-1,0]",23,0.0,0.0
2024-06,,infrasettimanale,notte,"(-10,-5]",44,0.0,290.0
2024-06,,infrasettimanale,notte,"(-15,-10]",4,0.0,41.0
2024-06,,infrasettimanale,notte,"(-5,-1]",86,0.0,222.0
2024-06,,infrasettimanale,notte,"(0,1]",30,30.0,0.0
2024-06,,infrasettimanale,notte,"(1,5]",79,280.0,0.0
2024-06,,infrasettimanale,notte,"(10,15]",28,359.0,0.0
2024-06,,infrasettimanale,notte,"(15,30]",24,512.0,0.0
2024-06,,infrasettimanale,notte,"(30,60]",18,736.0,0.0
2024-06,,infrasettimanale,notte,"(5,10]",46,366.0,0.0
2024-06,,infrasettimanale,notte,"(60,120]",8,699.0,0.0
2024-06,,infrasettimanale,notte,missing,1,0.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(-1,0]",36,0.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(-10,-5]",49,0.0,327.0
2024-06,,infrasettimanale,pomeriggio,"(-15,-10]",7,0.0,73.0
2024-06,,infrasettimanale,pomeriggio,"(-5,-1]",119,0.0,256.0
2024-06,,infrasettimanale,pomeriggio,"(0,1]",48,48.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(1,5]",190,634.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(10,15]",97,1230.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(15,30]",126,2732.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(30,60]",93,3910.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(5,10]",147,1141.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(60,120]",64,5158.0,0.0
2024-06,,infrasettimanale,pomeriggio,> 120,10,1571.0,0.0
2024-06,,infrasettimanale,pomeriggio,missing,1,0.0,0.0
2024-06,,infrasettimanale,sera,"(-1,0]",17,0.0,0.0
2024-06,,infrasettimanale,sera,"(-10,-5]",30,0.0,198.0
2024-06,,infrasettimanale,sera,"(-15,-10]",2,0.0,21.0
2024-06,,infrasettimanale,sera,"(-5,-1]",59,0.0,134.0
2024-06,,infrasettimanale,sera,"(0,1]",26,26.0,0.0
2024-06,,infrasettimanale,sera,"(1,5]",82,281.0,0.0
2024-06,,infrasettimanale,sera,"(10,15]",39,481.0,0.0
2024-06,,infrasettimanale,sera,"(15,30]",44,1005.0,0.0
2024-06,,infrasettimanale,sera,"(30,60]",21,874.0,0.0
2024-06,,infrasettimanale,sera,"(5,10]",57,439.0,0.0
2024-06,,infrasettimanale,sera,"(60,120]",6,511.0,0.0
2024-06,,infrasettimanale,sera,> 120,1,152.0,0.0
2024-06,,infrasettimanale,sera,missing,2,0.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(-1,0]",29,0.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(-10,-5]",59,0.0,362.0
2024-06,,infrasettimanale,tarda_mattina,"(-15,-10]",2,0.0,22.0
2024-06,,infrasettimanale,tarda_mattina,"(-5,-1]",126,0.0,281.0
2024-06,,infrasettimanale,tarda_mattina,"(0,1]",46,46.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(1,5]",236,792.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(10,15]",91,1182.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(15,30]",111,2431.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(30,60]",87,3768.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(5,10]",149,1122.0,0.0
2024-06,,infrasettimanale,tarda_mattina,"(60,120]",71,5962.0,0.0
2024-06,,infrasettimanale,tarda_mattina,> 120,19,3103.0,0.0
2024-06,,infrasettimanale,tarda_mattina,missing,1,0.0,0.0
2024-06,,weekend,mattina,"(-1,0]",18,0.0,0.0
2024-06,,weekend,mattina,"(-10,-5]",54,0.0,342.0
2024-06,,weekend,mattina,"(-15,-10]",8,0.0,91.0
2024-06,,weekend,mattina,"(-30,-15]",1,0.0,15.0
2024-06,,weekend,mattina,"(-5,-1]",86,0.0,207.0
2024-06,,weekend,mattina,"(0,1]",25,25.0,0.0
2024-06,,weekend,mattina,"(1,5]",130,469.0,0.0
2024-06,,weekend,mattina,"(10,15]",37,473.0,0.0
2024-06,,weekend,mattina,"(15,30]",61,1325.0,0.0
2024-06,,weekend,mattina,"(30,60]",34,1413.0,0.0
2024-06,,weekend,mattina,"(5,10]",66,516.0,0.0
2024-06,,weekend,mattina,"(60,120]",15,1296.0,0.0
2024-06,,weekend,mattina,> 120,10,1755.0,0.0
2024-06,,weekend,mattina,missing,4,0.0,0.0
2024-06,,weekend,notte,"(-1,0]",6,0.0,0.0
2024-06,,weekend,notte,"(-10,-5]",22,0.0,148.0
2024-06,,weekend,notte,"(-15,-10]",5,0.0,52.0
2024-06,,weekend,notte,"(-30,-15]",2,0.0,30.0
2024-06,,weekend,notte,"(-5,-1]",33,0.0,76.0
2024-06,,weekend,notte,"(0,1]",10,10.0,0.0
2024-06,,weekend,notte,"(1,5]",22,62.0,0.0
2024-06,,weekend,notte,"(10,15]",9,124.0,0.0
2024-06,,weekend,notte,"(15,30]",9,207.0,0.0
2024-06,,weekend,notte,"(30,60]",9,365.0,0.0
2024-06,,weekend,notte,"(5,10]",17,135.0,0.0
2024-06,,weekend,notte,"(60,120]",3,276.0,0.0
2024-06,,weekend,notte,> 120,2,387.0,0.0
2024-06,,weekend,notte,missing,2,0.0,0.0
2024-06,,weekend,pomeriggio,"(-1,0]",22,0.0,0.0
2024-06,,weekend,pomeriggio,"(-10,-5]",39,0.0,243.0
2024-06,,weekend,pomeriggio,"(-15,-10]",3,0.0,30.0
2024-06,,weekend,pomeriggio,"(-5,-1]",89,0.0,186.0
2024-06,,weekend,pomeriggio,"(0,1]",25,25.0,0.0
2024-06,,weekend,pomeriggio,"(1,5]",98,328.0,0.0
2024-06,,weekend,pomeriggio,"(10,15]",30,375.0,0.0
2024-06,,weekend,pomeriggio,"(15,30]",54,1143.0,0.0
2024-06,,weekend,pomeriggio,"(30,60]",32,1327.0,0.0
2024-06,,weekend,pomeriggio,"(5,10]",63,486.0,0.0
2024-06,,weekend,pomeriggio,"(60,120]",13,1016.0,0.0
2024-06,,weekend,pomeriggio,> 120,2,403.0,0.0
2024-06,,weekend,pomeriggio,missing,7,0.0,0.0
2024-06,,weekend,sera,"(-1,0]",12,0.0,0.0
2024-06,,weekend,sera,"(-10,-5]",35,0.0,231.0
2024-06,,weekend,sera,"(-15,-10]",11,0.0,124.0
2024-06,,weekend,sera,"(-30,-15]",1,0.0,27.0
2024-06,,weekend,sera,"(-5,-1]",32,0.0,70.0
2024-06,,weekend,sera,"(-60,-30]",2,0.0,69.0
2024-06,,weekend,sera,"(0,1]",10,10.0,0.0
2024-06,,weekend,sera,"(1,5]",30,96.0,0.0
2024-06,,weekend,sera,"(10,15]",13,159.0,0.0
2024-06,,weekend,sera,"(15,30]",10,216.0,0.0
2024-06,,weekend,sera,"(30,60]",6,256.0,0.0
2024-06,,weekend,sera,"(5,10]",17,118.0,0.0
2024-06,,weekend,sera,"(60,120]",1,72.0,0.0
2024-06,,weekend,sera,missing,4,0.0,0.0
2024-06,,weekend,tarda_mattina,"(-1,0]",14,0.0,0.0
2024-06,,weekend,tarda_mattina,"(-10,-5]",33,0.0,219.0
2024-06,,weekend,tarda_mattina,"(-15,-10]",5,0.0,53.0
2024-06,,weekend,tarda_mattina,"(-5,-1]",72,0.0,160.0
2024-06,,weekend,tarda_mattina,"(0,1]",26,26.0,0.0
2024-06,,weekend,tarda_mattina,"(1,5]",84,284.0,0.0
2024-06,,weekend,tarda_mattina,"(10,15]",41,525.0,0.0
2024-06,,weekend,tarda_mattina,"(15,30]",43,922.0,0.0
2024-06,,weekend,tarda_mattina,"(30,60]",39,1616.0,0.0
2024-06,,weekend,tarda_mattina,"(5,10]",58,450.0,0.0
2024-06,,weekend,tarda_mattina,"(60,120]",19,1696.0,0.0
2024-06,,weekend,tarda_mattina,> 120,7,1076.0,0.0
2024-06,,weekend,tarda_mattina,missing,7,0.0,0.0
2024-06,EC,infrasettimanale,mattina,"(-1,0]",2,0.0,0.0
2024-06,EC,infrasettimanale,mattina,"(-10,-5]",7,0.0,47.0
2024-06,EC,infrasettimanale,mattina,"(-5,-1]",8,0.0,28.0
2024-06,EC,infrasettimanale,mattina,"(0,1]",1,1.0,0.0
2024-06,EC,infrasettimanale,mattina,"(1,5]",4,12.0,0.0
2024-06,EC,infrasettimanale,mattina,"(15,30]",1,16.0,0.0
2024-06,EC,infrasettimanale,mattina,"(5,10]",3,27.0,0.0
2024-06,EC,infrasettimanale,mattina,> 120,1,171.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(-10,-5]",1,0.0,5.0
2024-06,EC,infrasettimanale,pomeriggio,"(-5,-1]",14,0.0,27.0
2024-06,EC,infrasettimanale,pomeriggio,"(0,1]",3,3.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(1,5]",27,95.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(10,15]",16,199.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(15,30]",8,178.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(30,60]",10,405.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(5,10]",21,163.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,"(60,120]",3,209.0,0.0
2024-06,EC,infrasettimanale,pomeriggio,> 120,1,151.0,0.0
2024-06,EC,infrasettimanale,sera,"(-5,-1]",4,0.0,9.0
2024-06,EC,infrasettimanale,sera,"(0,1]",1,1.0,0.0
2024-06,EC,infrasettimanale,sera,"(1,5]",8,27.0,0.0
2024-06,EC,infrasettimanale,sera,"(10,15]",8,107.0,0.0
2024-06,EC,infrasettimanale,sera,"(15,30]",1,21.0,0.0
2024-06,EC,infrasettimanale,sera,"(30,60]",6,231.0,0.0
2024-06,EC,infrasettimanale,sera,"(5,10]",12,89.0,0.0
2024-06,EC,infrasettimanale,sera,"(60,120]",1,85.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(-1,0]",4,0.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(-10,-5]",12,0.0,80.0
2024-06,EC,infrasettimanale,tarda_mattina,"(-5,-1]",15,0.0,33.0
2024-06,EC,infrasettimanale,tarda_mattina,"(0,1]",5,5.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(1,5]",21,65.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(10,15]",11,142.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(15,30]",11,235.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(30,60]",3,122.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(5,10]",20,151.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,"(60,120]",1,86.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,> 120,5,783.0,0.0
2024-06,EC,infrasettimanale,tarda_mattina,missing,1,0.0,0.0
2024-06,EC,weekend,mattina,"(-1,0]",2,0.0,0.0
2024-06,EC,weekend,mattina,"(-10,-5]",3,0.0,19.0
2024-06,EC,weekend,mattina,"(-5,-1]",5,0.0,13.0
2024-06,EC,weekend,mattina,"(0,1]",2,2.0,0.0
2024-06,EC,weekend,mattina,"(1,5]",3,7.0,0.0
2024-06,EC,weekend,mattina,"(5,10]",2,16.0,0.0
2024-06,EC,weekend,mattina,"(60,120]",1,65.0,0.0
2024-06,EC,weekend,notte,"(-10,-5]",1,0.0,9.0
2024-06,EC,weekend,pomeriggio,"(-5,-1]",12,0.0,24.0
2024-06,EC,weekend,pomeriggio,"(0,1]",7,7.0,0.0
2024-06,EC,weekend,pomeriggio,"(1,5]",16,50.0,0.0
2024-06,EC,weekend,pomeriggio,"(10,15]",3,43.0,0.0
2024-06,EC,weekend,pomeriggio,"(15,30]",6,126.0,0.0
2024-06,EC,weekend,pomeriggio,"(30,60]",5,220.0,0.0
2024-06,EC,weekend,pomeriggio,"(5,10]",7,56.0,0.0
2024-06,EC,weekend,pomeriggio,"(60,120]",2,134.0,0.0
2024-06,EC,weekend,sera,"(-1,0]",1,0.0,0.0
2024-06,EC,weekend,sera,"(-5,-1]",4,0.0,8.0
2024-06,EC,weekend,sera,"(0,1]",5,5.0,0.0
2024-06,EC,weekend,sera,"(1,5]",5,14.0,0.0
2024-06,EC,weekend,sera,"(10,15]",1,15.0,0.0
2024-06,EC,weekend,sera,"(15,30]",3,64.0,0.0
2024-06,EC,weekend,sera,"(30,60]",2,95.0,0.0
2024-06,EC,weekend,sera,"(5,10]",6,51.0,0.0
2024-06,EC,weekend,tarda_mattina,"(-1,0]",3,0.0,0.0
2024-06,EC,weekend,tarda_mattina,"(-10,-5]",7,0.0,39.0
2024-06,EC,weekend,tarda_mattina,"(-15,-10]",1,0.0,10.0
2024-06,EC,weekend,tarda_mattina,"(-5,-1]",12,0.0,34.0
2024-06,EC,weekend,tarda_mattina,"(0,1]",4,4.0,0.0
2024-06,EC,weekend,tarda_mattina,"(1,5]",10,35.0,0.0
2024-06,EC,weekend,tarda_mattina,"(10,15]",9,115.0,0.0
2024-06,EC,weekend,tarda_mattina,"(15,30]",2,50.0,0.0
2024-06,EC,weekend,tarda_mattina,"(30,60]",2,72.0,0.0
2024-06,EC,weekend,tarda_mattina,"(5,10]",9,76.0,0.0
2024-06,EC,weekend,tarda_mattina,"(60,120]",1,66.0,0.0
2024-06,EC,weekend,tarda_mattina,missing,2,0.0,0.0
2024-06,EN,infrasettimanale,notte,"(-10,-5]",1,0.0,5.0
2024-06,EN,infrasettimanale,notte,"(-5,-1]",1,0.0,2.0
2024-06,EN,infrasettimanale,notte,"(15,30]",4,84.0,0.0
2024-06,EN,infrasettimanale,notte,"(30,60]",6,281.0,0.0
2024-06,EN,infrasettimanale,notte,"(60,120]",1,80.0,0.0
2024-06,EN,infrasettimanale,notte,> 120,2,478.0,0.0
2024-06,EN,infrasettimanale,pomeriggio,"(1,5]",1,4.0,0.0
2024-06,EN,infrasettimanale,pomeriggio,"(10,15]",1,13.0,0.0
2024-06,EN,infrasettimanale,pomeriggio,"(5,10]",3,26.0,0.0
2024-06,EN,infrasettimanale,pomeriggio,"(60,120]",1,64.0,0.0
2024-06,EN,infrasettimanale,sera,"(30,60]",1,32.0,0.0
2024-06,EN,weekend,notte,"(-5,-1]",1,0.0,2.0
2024-06,EN,weekend,notte,"(0,1]",2,2.0,0.0
2024-06,EN,weekend,notte,"(15,30]",1,18.0,0.0
2024-06,EN,weekend,notte,"(5,10]",3,23.0,0.0
2024-06,EN,weekend,notte,> 120,2,471.0,0.0
2024-06,EN,weekend,pomeriggio,"(1,5]",1,4.0,0.0
2024-06,EN,weekend,pomeriggio,"(30,60]",1,47.0,0.0
2024-06,EN,weekend,pomeriggio,"(60,120]",2,178.0,0.0
2024-06,EXP,infrasettimanale,notte,"(-10,-5]",1,0.0,6.0
2024-06,EXP,infrasettimanale,pomeriggio,"(-1,0]",1,0.0,0.0
2024-06,EXP,infrasettimanale,pomeriggio,"(5,10]",1,8.0,0.0
2024-06,EXP,infrasettimanale,sera,"(-5,-1]",1,0.0,1.0
2024-06,EXP,infrasettimanale,sera,"(1,5]",1,4.0,0.0
2024-06,EXP,infrasettimanale,sera,"(10,15]",1,14.0,0.0
2024-06,EXP,infrasettimanale,sera,"(15,30]",1,17.0,0.0
2024-06,EXP,infrasettimanale,sera,> 120,1,189.0,0.0
2024-06,EXP,infrasettimanale,tarda_mattina,"(-5,-1]",2,0.0,7.0
2024-06,EXP,infrasettimanale,tarda_mattina,"(5,10]",1,9.0,0.0
2024-06,EXP,infrasettimanale,tarda_mattina,> 120,1,223.0,0.0
2024-06,EXP,weekend,sera,"(-30,-15]",1,0.0,26.0
2024-06,EXP,weekend,sera,"(-5,-1]",1,0.0,1.0
2024-06,EXP,weekend,tarda_mattina,"(-60,-30]",1,0.0,40.0
2024-06,EXP,weekend,tarda_mattina,"(30,60]",1,38.0,0.0
2024-06,IC,infrasettimanale,mattina,"(-1,0]",25,0.0,0.0
2024-06,IC,infrasettimanale,mattina,"(-10,-5]",16,0.0,99.0
2024-06,IC,infrasettimanale,mattina,"(-15,-10]",3,0.0,32.0
2024-06,IC,infrasettimanale,mattina,"(-30,-15]",4,0.0,87.0
2024-06,IC,infrasettimanale,mattina,"(-5,-1]",43,0.0,103.0
2024-06,IC,infrasettimanale,mattina,"(0,1]",32,32.0,0.0
2024-06,IC,infrasettimanale,mattina,"(1,5]",87,303.0,0.0
2024-06,IC,infrasettimanale,mattina,"(10,15]",32,411.0,0.0
2024-06,IC,infrasettimanale,mattina,"(15,30]",33,698.0,0.0
2024-06,IC,infrasettimanale,mattina,"(30,60]",28,1241.0,0.0
2024-06,IC,infrasettimanale,mattina,"(5,10]",62,480.0,0.0
2024-06,IC,infrasettimanale,mattina,"(60,120]",15,1259.0,0.0
2024-06,IC,infrasettimanale,mattina,> 120,2,242.0,0.0
2024-06,IC,infrasettimanale,notte,"(-1,0]",14,0.0,0.0
2024-06,IC,infrasettimanale,notte,"(-10,-5]",24,0.0,158.0
2024-06,IC,infrasettimanale,notte,"(-15,-10]",2,0.0,24.0
2024-06,IC,infrasettimanale,notte,"(-5,-1]",38,0.0,100.0
2024-06,IC,infrasettimanale,notte,"(0,1]",10,10.0,0.0
2024-06,IC,infrasettimanale,notte,"(1,5]",33,110.0,0.0
2024-06,IC,infrasettimanale,notte,"(10,15]",21,262.0,0.0
2024-06,IC,infrasettimanale,notte,"(15,30]",21,457.0,0.0
2024-06,IC,infrasettimanale,notte,"(30,60]",12,475.0,0.0
2024-06,IC,infrasettimanale,notte,"(5,10]",28,227.0,0.0
2024-06,IC,infrasettimanale,notte,"(60,120]",5,368.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(-1,0]",8,0.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(-10,-5]",17,0.0,114.0
2024-06,IC,infrasettimanale,pomeriggio,"(-5,-1]",42,0.0,80.0
2024-06,IC,infrasettimanale,pomeriggio,"(0,1]",7,7.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(1,5]",68,218.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(10,15]",31,409.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(15,30]",50,1084.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(30,60]",32,1349.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(5,10]",66,512.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,"(60,120]",12,892.0,0.0
2024-06,IC,infrasettimanale,pomeriggio,> 120,3,418.0,0.0
2024-06,IC,infrasettimanale,sera,"(-1,0]",8,0.0,0.0
2024-06,IC,infrasettimanale,sera,"(-10,-5]",6,0.0,44.0
2024-06,IC,infrasettimanale,sera,"(-15,-10]",3,0.0,34.0
2024-06,IC,infrasettimanale,sera,"(-5,-1]",41,0.0,91.0
2024-06,IC,infrasettimanale,sera,"(0,1]",4,4.0,0.0
2024-06,IC,infrasettimanale,sera,"(1,5]",46,161.0,0.0
2024-06,IC,infrasettimanale,sera,"(10,15]",14,174.0,0.0
2024-06,IC,infrasettimanale,sera,"(15,30]",14,326.0,0.0
2024-06,IC,infrasettimanale,sera,"(30,60]",13,610.0,0.0
2024-06,IC,infrasettimanale,sera,"(5,10]",35,297.0,0.0
2024-06,IC,infrasettimanale,sera,"(60,120]",8,717.0,0.0
2024-06,IC,infrasettimanale,sera,> 120,3,535.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(-1,0]",23,0.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(-10,-5]",34,0.0,218.0
2024-06,IC,infrasettimanale,tarda_mattina,"(-15,-10]",13,0.0,159.0
2024-06,IC,infrasettimanale,tarda_mattina,"(-5,-1]",67,0.0,170.0
2024-06,IC,infrasettimanale,tarda_mattina,"(0,1]",15,15.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(1,5]",55,196.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(10,15]",19,249.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(15,30]",44,995.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(30,60]",32,1344.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(5,10]",44,348.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,"(60,120]",10,809.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,> 120,5,1182.0,0.0
2024-06,IC,infrasettimanale,tarda_mattina,missing,2,0.0,0.0
2024-06,IC,weekend,mattina,"(-1,0]",7,0.0,0.0
2024-06,IC,weekend,mattina,"(-10,-5]",9,0.0,56.0
2024-06,IC,weekend,mattina,"(-15,-10]",2,0.0,22.0
2024-06,IC,weekend,mattina,"(-30,-15]",2,0.0,43.0
2024-06,IC,weekend,mattina,"(-5,-1]",35,0.0,76.0
2024-06,IC,weekend,mattina,"(-60,-30]",1,0.0,39.0
2024-06,IC,weekend,mattina,"(0,1]",17,17.0,0.0
2024-06,IC,weekend,mattina,"(1,5]",40,128.0,0.0
2024-06,IC,weekend,mattina,"(10,15]",18,241.0,0.0
2024-06,IC,weekend,mattina,"(15,30]",17,328.0,0.0
2024-06,IC,weekend,mattina,"(30,60]",10,451.0,0.0
2024-06,IC,weekend,mattina,"(5,10]",31,218.0,0.0
2024-06,IC,weekend,mattina,"(60,120]",7,539.0,0.0
2024-06,IC,weekend,mattina,> 120,5,856.0,0.0
2024-06,IC,weekend,mattina,missing,2,0.0,0.0
2024-06,IC,weekend,notte,"(-1,0]",6,0.0,0.0
2024-06,IC,weekend,notte,"(-10,-5]",13,0.0,84.0
2024-06,IC,weekend,notte,"(-15,-10]",1,0.0,12.0
2024-06,IC,weekend,notte,"(-30,-15]",1,0.0,20.0
2024-06,IC,weekend,notte,"(-5,-1]",23,0.0,66.0
2024-06,IC,weekend,notte,"(0,1]",5,5.0,0.0
2024-06,IC,weekend,notte,"(1,5]",15,40.0,0.0
2024-06,IC,weekend,notte,"(10,15]",4,54.0,0.0
2024-06,IC,weekend,notte,"(15,30]",10,221.0,0.0
2024-06,IC,weekend,notte,"(30,60]",8,369.0,0.0
2024-06,IC,weekend,notte,"(5,10]",11,83.0,0.0
2024-06,IC,weekend,notte,"(60,120]",1,84.0,0.0
2024-06,IC,weekend,notte,> 120,1,209.0,0.0
2024-06,IC,weekend,notte,missing,1,0.0,0.0
2024-06,IC,weekend,pomeriggio,"(-1,0]",5,0.0,0.0
2024-06,IC,weekend,pomeriggio,"(-10,-5]",12,0.0,84.0
2024-06,IC,weekend,pomeriggio,"(-15,-10]",2,0.0,23.0
2024-06,IC,weekend,pomeriggio,"(-5,-1]",28,0.0,58.0
2024-06,IC,weekend,pomeriggio,"(0,1]",3,3.0,0.0
2024-06,IC,weekend,pomeriggio,"(1,5]",19,59.0,0.0
2024-06,IC,weekend,pomeriggio,"(10,15]",17,218.0,0.0
2024-06,IC,weekend,pomeriggio,"(15,30]",25,560.0,0.0
2024-06,IC,weekend,pomeriggio,"(30,60]",14,552.0,0.0
2024-06,IC,weekend,pomeriggio,"(5,10]",35,258.0,0.0
2024-06,IC,weekend,pomeriggio,"(60,120]",4,310.0,0.0
2024-06,IC,weekend,pomeriggio,> 120,2,372.0,0.0
2024-06,IC,weekend,sera,"(-1,0]",1,0.0,0.0
2024-06,IC,weekend,sera,"(-10,-5]",6,0.0,41.0
2024-06,IC,weekend,sera,"(-30,-15]",2,0.0,42.0
2024-06,IC,weekend,sera,"(-5,-1]",12,0.0,23.0
2024-06,IC,weekend,sera,"(0,1]",3,3.0,0.0
2024-06,IC,weekend,sera,"(1,5]",20,76.0,0.0
2024-06,IC,weekend,sera,"(10,15]",6,78.0,0.0
